cache_kb;tamanho_cache_bytes;tamanho_bloco;numero_linhas;associatividade;leituras_mp;escritas_mp;total_mp;hit_global;amat
8;8192;64;128;2;5170;1026;6196;89.9023;10.0586
8;8192;64;128;4;3126;515;3641;93.8945;7.6633
8;8192;128;64;2;6176;1026;7202;87.9375;11.2375
8;8192;128;64;4;3621;515;4136;92.9277;8.2434
16;16384;64;256;2;2615;1026;3641;94.8926;7.0645
16;16384;64;256;4;2615;515;3130;94.8926;7.0645
16;16384;128;128;2;3621;1026;4647;92.9277;8.2434
16;16384;128;128;4;2599;515;3114;94.9238;7.0457
MEDIA;;;;;3692.8750;770.5000;4463.3750;;
