numero_linhas;tamanho_cache_bytes;hit_global;amat;leituras_mp;escritas_mp;total_mp
8;1024;43.0;38.2;23040;6144;29184
16;2048;46.998;35.8012;20993;6144;27137
32;4096;58.9785;28.6129;14859;6144;21003
64;8192;81.9336;14.8398;3106;6144;9250
128;16384;87.9219;11.2469;40;6144;6184
256;32768;87.9219;11.2469;40;6144;6184
512;65536;87.9219;11.2469;40;6144;6184
1024;131072;87.9219;11.2469;40;6144;6184
