associatividade;tamanho_cache_bytes;tamanho_bloco;numero_linhas;hit_global;amat;leituras_mp;escritas_mp;total_mp
1;8192;128;64;74.957;19.0258;12822;2048;14870
2;8192;128;64;87.9375;11.2375;6176;1026;7202
4;8192;128;64;92.9277;8.2434;3621;515;4136
8;8192;128;64;89.9336;10.0398;5154;1026;6180
16;8192;128;64;99.9141;4.0516;44;4;48
32;8192;128;64;99.9141;4.0516;44;4;48
64;8192;128;64;99.9141;4.0516;44;4;48
