cache_kb;tamanho_cache_bytes;tamanho_bloco;numero_linhas;associatividade;leituras_mp;escritas_mp;total_mp;hit_global;amat
8;8192;64;128;2;3633;6144;9777;80.9043;15.4574
8;8192;64;128;4;2611;6144;8755;82.9004;14.2598
8;8192;128;64;2;4639;6144;10783;78.9395;16.6363
8;8192;128;64;4;3106;6144;9250;81.9336;14.8398
16;16384;64;256;2;56;6144;6200;87.8906;11.2656
16;16384;64;256;4;56;6144;6200;87.8906;11.2656
16;16384;128;128;2;1062;6144;7206;85.9258;12.4445
16;16384;128;128;4;40;6144;6184;87.9219;11.2469
MEDIA;;;;;1900.3750;6144.0000;8044.3750;;
